id_matriz,id_plano,categoria,secao_plano,requirement_id,descricao_requisito,pergunta_teste,resultado_esperado,evidencia_esperada,guardrail_1_fonte,guardrail_2_nao_inventar,guardrail_3_sem_cobertura,guardrail_4_portugues_formal,origem_documental,status
MX-001,ING-01,Ingestao,6.1 Validacao de Extracao,REQ-RAG-ING-001,Extrair documento completo sem perda de secoes,N/A,Texto completo extraido e normalizado,Log de ingestao,SIM,SIM,NAO_APLICA,SIM,POL-001-politica-devolucao.md,Planejado
MX-002,ING-02,Ingestao,6.1 Validacao de Extracao,REQ-RAG-ING-002,Preservar estrutura de tabela em extracao,N/A,Tabela de multiplicadores preservada,Snapshot do parser,SIM,SIM,NAO_APLICA,SIM,PROC-042-v2-frete-especial-revisado.md,Planejado
MX-003,CHK-01,Chunking,6.2 Validacao de Chunking,REQ-RAG-CHK-001,Manter secoes criticas intactas no chunking,N/A,Secoes 3.2 POL-001 e 2.1 PROC sem quebra indevida,Amostra de chunks,SIM,SIM,NAO_APLICA,SIM,anexo-a-documentacao-simulada-novatech.md,Planejado
MX-004,CHK-02,Chunking,6.2 Validacao de Chunking,REQ-RAG-CHK-002,Respeitar limite de tamanho sem truncar regra,N/A,Sem perda de regra essencial,Relatorio de tamanho,SIM,SIM,NAO_APLICA,SIM,anexo-a-documentacao-simulada-novatech.md,Planejado
MX-005,IDX-01,Indexacao,6.3 Validacao de Indexacao,REQ-RAG-IDX-001,Registrar metadados de origem e secao,N/A,Metadados completos no indice,Consulta no indice,SIM,SIM,NAO_APLICA,SIM,anexo-b-chunks-referencia-rag.md,Planejado
MX-006,IDX-02,Indexacao,6.3 Validacao de Indexacao,REQ-RAG-IDX-002,Diferenciar versoes v1 e v2 no indice,N/A,Filtragem de versao funcionando,Consulta por filtro,SIM,SIM,NAO_APLICA,SIM,PROC-042-frete-especial-v1.md; PROC-042-v2-frete-especial-revisado.md,Planejado
MX-007,RET-01,Retrieval,7. Testes de Retrieval,REQ-RAG-RET-001,Recuperar regra oficial de devolucao,Qual o prazo de devolucao?,Top-K com POL-001-A e POL-001-B,Top-K obtido com POL-001-A e POL-001-B no conjunto recuperado,SIM,SIM,NAO_APLICA,SIM,anexo-b-chunks-referencia-rag.md,Executado-Aprovado
MX-008,RET-02,Retrieval,7. Testes de Retrieval,REQ-RAG-RET-002,Recuperar frete especial da v2 para Norte,Quanto custa frete para 600kg para Manaus?,Top-K com PROC-042v2-A e PROC-042v2-B,Top-K obtido com PROC-042v2-A e PROC-042v2-B; prioridade para v2 mantida,SIM,SIM,NAO_APLICA,SIM,anexo-b-chunks-referencia-rag.md,Executado-Aprovado
MX-009,RET-03,Retrieval,7. Testes de Retrieval,REQ-RAG-RET-003,Recuperar regra de inexistencia de tier,Qual o SLA do cliente Platinum?,Top-K com SLA-2024-A,Top-K obtido com SLA-2024-A; regra de inexistencia recuperada,SIM,SIM,NAO_APLICA,SIM,anexo-b-chunks-referencia-rag.md,Executado-Aprovado
MX-010,RET-04,Retrieval,7. Testes de Retrieval,REQ-RAG-RET-004,Recuperar nao elegibilidade para carga perigosa,Posso devolver carga perigosa?,Top-K com POL-001-B,Top-K obtido com POL-001-B; excecao critica recuperada,SIM,SIM,NAO_APLICA,SIM,anexo-b-chunks-referencia-rag.md,Executado-Aprovado
MX-011,RET-05,Retrieval,7. Testes de Retrieval,REQ-RAG-RET-005,Recuperar multiplicador Sudeste v2,Qual o multiplicador de frete para o Sudeste?,Top-K com PROC-042v2-B,Top-K obtido com PROC-042v2-B e valor 1.1 identificado,SIM,SIM,NAO_APLICA,SIM,anexo-b-chunks-referencia-rag.md,Executado-Aprovado
